'Elapsed time','ECG'
492.344,-0.330
492.348,-0.360
492.352,-0.365
492.356,-0.345
492.360,-0.335
492.364,-0.355
492.368,-0.375
492.372,-0.355
492.376,-0.340
492.380,-0.350
492.384,-0.365
492.388,-0.350
492.392,-0.320
492.396,-0.320
492.400,-0.345
492.404,-0.325
492.408,-0.290
492.412,-0.295
492.416,-0.315
492.420,-0.295
492.424,-0.270
492.428,-0.270
492.432,-0.290
492.436,-0.290
492.440,-0.270
492.444,-0.275
492.448,-0.295
492.452,-0.320
492.456,-0.310
492.460,-0.305
492.464,-0.320
492.468,-0.355
492.472,-0.345
492.476,-0.350
492.480,-0.380
492.484,-0.425
492.488,-0.420
492.492,-0.410
492.496,-0.435
492.500,-0.470
492.504,-0.465
492.508,-0.460
492.512,-0.480
492.516,-0.520
492.520,-0.510
492.524,-0.500
492.528,-0.520
492.532,-0.540
492.536,-0.535
492.540,-0.515
492.544,-0.510
492.548,-0.530
492.552,-0.525
492.556,-0.490
492.560,-0.470
492.564,-0.460
492.568,-0.455
492.572,-0.425
492.576,-0.380
492.580,-0.360
492.584,-0.340
492.588,-0.310
492.592,-0.260
492.596,-0.240
492.600,-0.235
492.604,-0.180
492.608,-0.130
492.612,-0.120
492.616,-0.125
492.620,-0.100
492.624,-0.065
492.628,-0.055
492.632,-0.060
492.636,-0.045
492.640,0.000
492.644,0.005
492.648,-0.030
492.652,-0.040
492.656,0.000
492.660,-0.025
492.664,-0.070
492.668,-0.130
492.672,-0.200
492.676,-0.285
492.680,-0.415
492.684,-0.595
492.688,-0.765
492.692,-0.920
492.696,-1.055
492.700,-1.215
492.704,-1.300
492.708,-1.375
492.712,-1.445
492.716,-1.555
492.720,-1.570
492.724,-1.585
492.728,-1.655
492.732,-1.740
492.736,-1.790
492.740,-1.780
492.744,-1.700
492.748,-1.510
492.752,-1.180
492.756,-0.755
492.760,-0.365
492.764,-0.055
492.768,0.160
492.772,0.325
492.776,0.420
492.780,0.460
492.784,0.490
492.788,0.515
492.792,0.535
492.796,0.515
492.800,0.485
492.804,0.495
492.808,0.540
492.812,0.560
492.816,0.540
492.820,0.565
492.824,0.615
492.828,0.645
492.832,0.650
492.836,0.660
492.840,0.715
492.844,0.745
492.848,0.755
492.852,0.750
492.856,0.790
492.860,0.820
492.864,0.835
492.868,0.840
492.872,0.885
492.876,0.920
492.880,0.940
492.884,0.945
492.888,0.990
492.892,1.025
492.896,1.035
492.900,1.015
492.904,1.030
492.908,1.045
492.912,1.035
492.916,1.000
492.920,1.010
492.924,1.025
492.928,1.015
492.932,0.965
492.936,0.955
492.940,0.950
492.944,0.905
492.948,0.805
492.952,0.690
492.956,0.580
492.960,0.460
492.964,0.320
492.968,0.160
492.972,0.020
492.976,-0.135
492.980,-0.300
492.984,-0.450
492.988,-0.505
492.992,-0.525
492.996,-0.605
493.000,-0.725
493.004,-0.810
493.008,-0.930
493.012,-1.090
493.016,-1.270
493.020,-1.380
493.024,-1.395
493.028,-1.415
493.032,-1.470
493.036,-1.470
493.040,-1.450
493.044,-1.425
493.048,-1.420
493.052,-1.385
493.056,-1.320
493.060,-1.270
493.064,-1.215
493.068,-1.150
493.072,-1.035
493.076,-0.920
493.080,-0.760
493.084,-0.575
493.088,-0.355
493.092,-0.160
493.096,-0.040
493.100,0.050
493.104,0.170
493.108,0.290
493.112,0.385
493.116,0.450
493.120,0.560
493.124,0.680
493.128,0.780
493.132,0.840
493.136,0.920
493.140,1.005
493.144,1.055
493.148,1.075
493.152,1.105
493.156,1.175
493.160,1.230
493.164,1.255
493.168,1.265
493.172,1.300
493.176,1.340
493.180,1.350
493.184,1.340
493.188,1.370
493.192,1.395
493.196,1.380
493.200,1.365
493.204,1.390
493.208,1.425
493.212,1.410
493.216,1.375
493.220,1.360
493.224,1.340
493.228,1.270
493.232,1.160
493.236,1.075
493.240,1.015
493.244,0.950
493.248,0.840
493.252,0.735
493.256,0.665
493.260,0.605
493.264,0.560
493.268,0.480
493.272,0.415
493.276,0.325
493.280,0.185
493.284,-0.080
493.288,-0.365
493.292,-0.685
493.296,-0.990
493.300,-1.200
493.304,-1.295
493.308,-1.380
493.312,-1.500
493.316,-1.615
493.320,-1.580
493.324,-1.470
493.328,-1.380
493.332,-1.340
493.336,-1.285
493.340,-1.220
493.344,-1.165
493.348,-1.150
493.352,-1.095
493.356,-1.005
493.360,-0.940
493.364,-0.905
493.368,-0.800
493.372,-0.580
493.376,-0.355
493.380,-0.155
493.384,0.040
493.388,0.245
493.392,0.455
493.396,0.615
493.400,0.710
493.404,0.785
493.408,0.835
493.412,0.860
493.416,0.865
493.420,0.900
493.424,0.935
493.428,0.950
493.432,0.950
493.436,0.975
493.440,1.020
493.444,1.040
493.448,1.040
493.452,1.035
493.456,1.075
493.460,1.100
493.464,1.110
493.468,1.105
493.472,1.140
493.476,1.165
493.480,1.160
493.484,1.130
493.488,1.150
493.492,1.160
493.496,1.150
493.500,1.120
493.504,1.140
493.508,1.155
493.512,1.135
493.516,1.080
493.520,1.080
493.524,1.080
493.528,1.075
493.532,1.030
493.536,1.010
493.540,0.995
493.544,0.930
493.548,0.835
493.552,0.760
493.556,0.715
493.560,0.670
493.564,0.590
493.568,0.500
493.572,0.470
493.576,0.435
493.580,0.340
493.584,0.210
493.588,0.065
493.592,-0.130
493.596,-0.365
493.600,-0.670
493.604,-1.060
493.608,-1.460
493.612,-1.825
493.616,-2.020
493.620,-2.030
493.624,-1.955
493.628,-1.880
493.632,-1.820
493.636,-1.730
493.640,-1.580
493.644,-1.445
493.648,-1.345
493.652,-1.240
493.656,-1.090
493.660,-0.970
493.664,-0.860
493.668,-0.725
493.672,-0.535
493.676,-0.355
493.680,-0.225
493.684,-0.110
493.688,0.115
493.692,0.275
493.696,0.345
493.700,0.345
493.704,0.380
493.708,0.420
493.712,0.450
493.716,0.445
493.720,0.475
493.724,0.515
493.728,0.545
493.732,0.535
493.736,0.570
493.740,0.615
493.744,0.640
493.748,0.640
493.752,0.665
493.756,0.710
493.760,0.725
493.764,0.725
493.768,0.720
493.772,0.760
493.776,0.790
493.780,0.790
493.784,0.775
493.788,0.795
493.792,0.810
493.796,0.800
493.800,0.770
493.804,0.780
493.808,0.795
493.812,0.785
493.816,0.765
493.820,0.770
493.824,0.785
493.828,0.770
493.832,0.735
493.836,0.750
493.840,0.780
493.844,0.765
493.848,0.755
493.852,0.770
493.856,0.810
493.860,0.840
493.864,0.840
493.868,0.805
493.872,0.785
493.876,0.755
493.880,0.700
493.884,0.635
493.888,0.630
493.892,0.640
493.896,0.615
493.900,0.545
493.904,0.520
493.908,0.490
493.912,0.450
493.916,0.395
493.920,0.345
493.924,0.265
493.928,0.160
493.932,0.055
493.936,0.035
493.940,0.035
493.944,0.010
493.948,-0.065
493.952,-0.120
493.956,-0.145
493.960,-0.160
493.964,-0.220
493.968,-0.280
493.972,-0.305
493.976,-0.370
493.980,-0.435
493.984,-0.505
493.988,-0.580
493.992,-0.680
493.996,-0.810
494.000,-0.945
494.004,-1.045
494.008,-1.145
494.012,-1.255
494.016,-1.400
494.020,-1.470
494.024,-1.430
494.028,-1.420
494.032,-1.485
494.036,-1.495
494.040,-1.475
494.044,-1.490
494.048,-1.530
494.052,-1.545
494.056,-1.490
494.060,-1.430
494.064,-1.350
494.068,-1.260
494.072,-1.155
494.076,-1.065
494.080,-0.980
494.084,-0.905
494.088,-0.815
494.092,-0.725
494.096,-0.635
494.100,-0.550
494.104,-0.420
494.108,-0.245
494.112,-0.085
494.116,0.080
494.120,0.265
494.124,0.425
494.128,0.520
494.132,0.585
494.136,0.680
494.140,0.760
494.144,0.805
494.148,0.810
494.152,0.830
494.156,0.890
494.160,0.930
494.164,0.945
494.168,0.955
494.172,1.000
494.176,1.045
494.180,1.060
494.184,1.060
494.188,1.100
494.192,1.145
494.196,1.145
494.200,1.130
494.204,1.160
494.208,1.200
494.212,1.205
494.216,1.195
494.220,1.210
494.224,1.235
494.228,1.230
494.232,1.200
494.236,1.175
494.240,1.145
494.244,1.080
494.248,0.995
494.252,0.925
494.256,0.860
494.260,0.785
494.264,0.680
494.268,0.565
494.272,0.505
494.276,0.445
494.280,0.365
494.284,0.260
494.288,0.200
494.292,0.140
494.296,0.050
494.300,-0.055
494.304,-0.090
494.308,-0.125
494.312,-0.210
494.316,-0.330
494.320,-0.395
494.324,-0.460
494.328,-0.550
494.332,-0.665
494.336,-0.740
494.340,-0.785
494.344,-0.830
494.348,-0.895
494.352,-0.940
494.356,-0.970
494.360,-1.025
494.364,-1.110
494.368,-1.190
494.372,-1.235
494.376,-1.280
494.380,-1.320
494.384,-1.350
494.388,-1.325
494.392,-1.300
494.396,-1.290
494.400,-1.255
494.404,-1.165
494.408,-1.050
494.412,-0.950
494.416,-0.880
494.420,-0.795
494.424,-0.725
494.428,-0.670
494.432,-0.630
494.436,-0.550
494.440,-0.425
494.444,-0.300
494.448,-0.190
494.452,-0.065
494.456,0.135
494.460,0.340
494.464,0.550
494.468,0.750
494.472,0.950
494.476,1.130
494.480,1.270
494.484,1.365
494.488,1.515
494.492,1.620
494.496,1.680
494.500,1.705
494.504,1.785
494.508,1.855
494.512,1.885
494.516,1.880
494.520,1.930
494.524,1.980
494.528,2.000
494.532,1.985
494.536,2.000
494.540,2.040
494.544,2.050
494.548,2.030
494.552,2.025
494.556,2.045
494.560,2.045
494.564,2.015
494.568,1.985
494.572,1.985
494.576,1.985
494.580,1.940
494.584,1.885
494.588,1.870
494.592,1.860
494.596,1.820
494.600,1.755
494.604,1.730
494.608,1.700
494.612,1.640
494.616,1.570
494.620,1.535
494.624,1.515
494.628,1.455
494.632,1.380
494.636,1.340
494.640,1.320
494.644,1.270
494.648,1.200
494.652,1.145
494.656,1.120
494.660,1.065
494.664,0.980
494.668,0.895
494.672,0.840
494.676,0.825
494.680,0.815
494.684,0.620
494.688,0.475
494.692,0.285
494.696,0.055
494.700,-0.220
494.704,-0.450
494.708,-0.695
494.712,-0.930
494.716,-1.130
494.720,-1.210
494.724,-1.305
494.728,-1.465
494.732,-1.625
494.736,-1.670
494.740,-1.695
494.744,-1.740
494.748,-1.760
494.752,-1.675
494.756,-1.490
494.760,-1.335
494.764,-1.205
494.768,-1.105
494.772,-1.010
494.776,-0.885
494.780,-0.720
494.784,-0.535
494.788,-0.300
494.792,-0.115
494.796,0.020
494.800,0.120
494.804,0.215
494.808,0.300
494.812,0.335
494.816,0.350
494.820,0.395
494.824,0.455
494.828,0.485
494.832,0.485
494.836,0.515
494.840,0.555
494.844,0.570
494.848,0.560
494.852,0.580
494.856,0.615
494.860,0.630
494.864,0.620
494.868,0.610
494.872,0.645
494.876,0.685
494.880,0.700
494.884,0.690
494.888,0.725
494.892,0.750
494.896,0.750
494.900,0.735
494.904,0.770
494.908,0.795
494.912,0.780
494.916,0.760
494.920,0.780
494.924,0.805
494.928,0.800
494.932,0.775
494.936,0.780
494.940,0.795
494.944,0.785
494.948,0.750
494.952,0.740
494.956,0.755
494.960,0.750
494.964,0.730
494.968,0.710
494.972,0.725
494.976,0.735
494.980,0.715
494.984,0.690
494.988,0.700
494.992,0.700
494.996,0.670
495.000,0.615
495.004,0.585
495.008,0.530
495.012,0.440
495.016,0.310
495.020,0.185
495.024,0.090
495.028,-0.060
495.032,-0.240
495.036,-0.365
495.040,-0.480
495.044,-0.625
495.048,-0.785
495.052,-0.910
495.056,-0.990
495.060,-1.080
495.064,-1.185
495.068,-1.290
495.072,-1.355
495.076,-1.445
495.080,-1.525
495.084,-1.585
495.088,-1.545
495.092,-1.450
495.096,-1.345
495.100,-1.220
495.104,-1.055
495.108,-0.865
495.112,-0.715
495.116,-0.590
495.120,-0.420
495.124,-0.245
495.128,-0.080
495.132,0.035
495.136,0.120
495.140,0.190
495.144,0.240
495.148,0.270
495.152,0.320
495.156,0.395
495.160,0.440
495.164,0.455
495.168,0.495
495.172,0.570
495.176,0.620
495.180,0.640
495.184,0.665
495.188,0.715
495.192,0.770
495.196,0.790
495.200,0.800
495.204,0.860
495.208,0.905
495.212,0.915
495.216,0.905
495.220,0.940
495.224,0.980
495.228,0.980
495.232,0.960
495.236,0.975
495.240,1.010
495.244,1.015
495.248,0.990
495.252,0.990
495.256,1.010
495.260,1.000
495.264,0.975
495.268,0.950
495.272,0.965
495.276,0.975
495.280,0.950
495.284,0.910
495.288,0.915
495.292,0.920
495.296,0.910
495.300,0.875
495.304,0.880
495.308,0.880
495.312,0.850
495.316,0.800
495.320,0.795
495.324,0.795
495.328,0.760
495.332,0.705
495.336,0.685
495.340,0.670
495.344,0.635
495.348,0.575
495.352,0.540
495.356,0.525
495.360,0.490
495.364,0.435
495.368,0.390
495.372,0.380
495.376,0.365
495.380,0.320
495.384,0.275
495.388,0.270
495.392,0.265
495.396,0.235
495.400,0.190
495.404,0.190
495.408,0.185
495.412,0.165
495.416,0.130
495.420,0.130
495.424,0.150
495.428,0.130
495.432,0.085
495.436,0.080
495.440,0.100
495.444,0.090
495.448,0.065
495.452,0.065
495.456,0.075
495.460,0.070
495.464,0.050
495.468,0.035
495.472,0.055
495.476,0.060
495.480,0.040
495.484,0.015
495.488,0.035
495.492,0.055
495.496,0.035
495.500,0.015
495.504,0.035
495.508,0.050
495.512,0.050
495.516,0.015
495.520,0.030
495.524,0.050
495.528,0.045
495.532,0.010
495.536,0.030
495.540,0.050
495.544,0.050
495.548,0.030
495.552,0.030
495.556,0.050
495.560,0.055
495.564,0.035
495.568,0.025
495.572,0.045
495.576,0.055
495.580,0.030
495.584,0.010
495.588,0.035
495.592,0.060
495.596,0.050
495.600,0.030
495.604,0.045
495.608,0.055
495.612,0.035
495.616,0.010
495.620,0.030
495.624,0.055
495.628,0.045
495.632,0.015
495.636,0.025
495.640,0.050
495.644,0.050
495.648,0.025
495.652,0.025
495.656,0.055
495.660,0.055
495.664,0.035
495.668,0.020
495.672,0.040
495.676,0.055
495.680,0.045
495.684,0.020
495.688,0.040
495.692,0.055
495.696,0.055
495.700,0.030
495.704,0.050
495.708,0.060
495.712,0.050
495.716,0.015
495.720,0.040
495.724,0.065
495.728,0.060
495.732,0.030
495.736,0.045
495.740,0.065
495.744,0.055
495.748,0.025
495.752,0.035
495.756,0.060
495.760,0.070
495.764,0.045
495.768,0.035
495.772,0.060
495.776,0.070
495.780,0.050
495.784,0.030
495.788,0.040
495.792,0.060
495.796,0.045
495.800,0.025
495.804,0.045
495.808,0.070
495.812,0.065
495.816,0.045
495.820,0.065
495.824,0.090
495.828,0.085
495.832,0.060
495.836,0.075
495.840,0.125
495.844,0.160
495.848,0.190
495.852,0.240
495.856,0.325
495.860,0.355
495.864,0.335
495.868,0.315
495.872,0.320
495.876,0.325
495.880,0.330
495.884,0.320
495.888,0.350
495.892,0.335
495.896,0.290
495.900,0.240
495.904,0.240
495.908,0.265
495.912,0.250
495.916,0.165
495.920,0.130
495.924,0.090
495.928,0.045
495.932,0.040
495.936,0.150
495.940,0.310
495.944,0.480
495.948,0.650
495.952,0.815
495.956,0.980
495.960,1.070
495.964,1.145
495.968,1.220
495.972,1.280
495.976,1.315
495.980,1.280
495.984,1.225
495.988,1.200
495.992,1.155
495.996,1.035
496.000,0.915
496.004,0.875
496.008,0.875
496.012,0.865
496.016,0.855
496.020,0.855
496.024,0.815
496.028,0.765
496.032,0.740
496.036,0.755
496.040,0.760
496.044,0.735
496.048,0.700
496.052,0.655
496.056,0.600
496.060,0.465
496.064,0.280
496.068,0.100
496.072,0.000
496.076,-0.075
496.080,-0.165
496.084,-0.265
496.088,-0.300
496.092,-0.310
496.096,-0.320
496.100,-0.340
496.104,-0.330
496.108,-0.320
496.112,-0.330
496.116,-0.370
496.120,-0.360
496.124,-0.340
496.128,-0.345
496.132,-0.385
496.136,-0.380
496.140,-0.365
496.144,-0.365
496.148,-0.390
496.152,-0.390
496.156,-0.365
496.160,-0.365
496.164,-0.390
496.168,-0.395
496.172,-0.380
496.176,-0.365
496.180,-0.370
496.184,-0.385
496.188,-0.355
496.192,-0.325
496.196,-0.325
496.200,-0.330
496.204,-0.295
496.208,-0.260
496.212,-0.250
496.216,-0.260
496.220,-0.230
496.224,-0.180
496.228,-0.170
496.232,-0.175
496.236,-0.140
496.240,-0.100
496.244,-0.085
496.248,-0.100
496.252,-0.090
496.256,-0.060
496.260,-0.060
496.264,-0.075
496.268,-0.090
496.272,-0.070
496.276,-0.065
496.280,-0.090
496.284,-0.120
496.288,-0.120
496.292,-0.130
496.296,-0.155
496.300,-0.200
496.304,-0.195
496.308,-0.210
496.312,-0.245
496.316,-0.300
496.320,-0.305
496.324,-0.305
496.328,-0.330
496.332,-0.385
496.336,-0.385
496.340,-0.365
496.344,-0.380
496.348,-0.415
496.352,-0.410
496.356,-0.385
496.360,-0.375
496.364,-0.395
496.368,-0.385
496.372,-0.350
496.376,-0.310
496.380,-0.295
496.384,-0.290
496.388,-0.245
496.392,-0.200
496.396,-0.200
496.400,-0.195
496.404,-0.140
496.408,-0.095
496.412,-0.065
496.416,-0.060
496.420,-0.020
496.424,0.030
496.428,0.045
496.432,0.045
496.436,0.075
496.440,0.120
496.444,0.160
496.448,0.180
496.452,0.225
496.456,0.300
496.460,0.335
496.464,0.315
496.468,0.295
496.472,0.305
496.476,0.315
496.480,0.300
496.484,0.295
496.488,0.345
496.492,0.330
496.496,0.275
496.500,0.270
496.504,0.350
496.508,0.410
496.512,0.445
496.516,0.405
496.520,0.375
496.524,0.370
496.528,0.355
496.532,0.325
496.536,0.335
496.540,0.320
496.544,0.250
496.548,0.105
496.552,-0.045
496.556,-0.155
496.560,-0.250
496.564,-0.360
496.568,-0.480
496.572,-0.520
496.576,-0.545
496.580,-0.560
496.584,-0.515
496.588,-0.450
